initiator,severity,rawLog,module,date,organization,message
system,Information,"Tue, 14 Aug 2018 10:14:34 -0400|system|import|INFO|4|Import beginning for scan #14084 into Repository #39.
",import,"Tue, 14 Aug 2018 10:14:34 -0400",West Virginia University,Import beginning for scan #14084 into Repository #39.
Scan,Information,"Tue, 14 Aug 2018 10:14:30 -0400|Scan|message|INFO|4|Scan job #10529061 ('B&E FULL UnAuthenticated 157 Scan' - #261)  (B&E FULL UnAuthenticated 157 Scan) has ended.
",message,"Tue, 14 Aug 2018 10:14:30 -0400",West Virginia University,Scan job #10529061 ('B&E FULL UnAuthenticated 157 Scan' - #261)  (B&E FULL UnAuthenticated 157 Scan) has ended.
WVU,Information,"Tue, 14 Aug 2018 10:04:54 -0400|WVU|auth|INFO|4|Successful login for 'WVU' from 157.182.59.106 (authentication type: tns).
",auth,"Tue, 14 Aug 2018 10:04:54 -0400",West Virginia University,Successful login for 'WVU' from 157.182.59.106 (authentication type: tns).
,Warning,"Tue, 14 Aug 2018 10:04:51 -0400||error|WARNING|0|Invalid username/password combination for User WVU from ip 157.182.59.106 (authentication type: password)
",error,"Tue, 14 Aug 2018 10:04:51 -0400",Application,Invalid username/password combination for User WVU from ip 157.182.59.106 (authentication type: password)
scannerUpdate,Information,"Tue, 14 Aug 2018 10:02:43 -0400|scannerUpdate|message|INFO|0|Updating plugins on Scanner 'External Scanner' (id #3 host:129.71.26.250)
",message,"Tue, 14 Aug 2018 10:02:43 -0400",Application,Updating plugins on Scanner 'External Scanner' (id #3 host:129.71.26.250)
,Critical,"Tue, 14 Aug 2018 10:00:09 -0400||error|CRITICAL|0|Job #10529166 (type: evaluateDashboardElement; id: 2090) exited with error code #143.
",error,"Tue, 14 Aug 2018 10:00:09 -0400",Application,Job #10529166 (type: evaluateDashboardElement; id: 2090) exited with error code #143.
,Critical,"Tue, 14 Aug 2018 10:00:09 -0400||error|CRITICAL|4|Job id #10529166 terminated abnormally with error status '143'. (command: /opt/sc/support/bin/php /opt/sc/src/tools/evaluateDashboardElement.php 10529166 4; initiator = 1; object = 2090; jobparams = a:0:{})
",error,"Tue, 14 Aug 2018 10:00:09 -0400",West Virginia University,Job id #10529166 terminated abnormally with error status '143'. (command: /opt/sc/support/bin/php /opt/sc/src/tools/evaluateDashboardElement.php 10529166 4; initiator = 1; object = 2090; jobparams = a:0:{})
,Critical,"Tue, 14 Aug 2018 10:00:09 -0400||error|CRITICAL|4|Error generating data for Dashboard component #2090 (Assets List Critical Vulns) owned by User #1. Error executing ReportSource Query. Error executing ReportSource Query. SecurityCenter could not process the vulnerability filter string (SC_ROOT=/opt/sc /opt/sc/bin/showvulns  +orgid ""4"" +groupid ""0"" +tool 'sumasset' +sourcetype 'cumulative' +startoffset '0' +endoffset '10' +sortfield assetName +sortdir 'desc' +severity ""4"" +repository ""2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45""  -acceptRisk). Error opening asset file needed for query (orgID: 4 groupID: 0 repID: 44 assetID: 3252 msg: No such file or directory). 
",error,"Tue, 14 Aug 2018 10:00:09 -0400",West Virginia University,"Error generating data for Dashboard component #2090 (Assets List Critical Vulns) owned by User #1. Error executing ReportSource Query. Error executing ReportSource Query. SecurityCenter could not process the vulnerability filter string (SC_ROOT=/opt/sc /opt/sc/bin/showvulns  +orgid ""4"" +groupid ""0"" +tool 'sumasset' +sourcetype 'cumulative' +startoffset '0' +endoffset '10' +sortfield assetName +sortdir 'desc' +severity ""4"" +repository ""2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45""  -acceptRisk). Error opening asset file needed for query (orgID: 4 groupID: 0 repID: 44 assetID: 3252 msg: No such file or directory)."
,Critical,"Tue, 14 Aug 2018 10:00:09 -0400||error|CRITICAL|4|Error generating data for Dashboard component #2090 (Assets List Critical Vulns) owned by User #1. Error executing ReportSource Query. Error executing ReportSource Query. SecurityCenter could not process the vulnerability filter string (SC_ROOT=/opt/sc /opt/sc/bin/showvulns  +orgid ""4"" +groupid ""0"" +tool 'sumasset' +sourcetype 'cumulative' +startoffset '0' +endoffset '10' +sortfield assetName +sortdir 'desc' +severity ""4"" +repository ""2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45""  -acceptRisk). Error opening asset file needed for query (orgID: 4 groupID: 0 repID: 44 assetID: 3252 msg: No such file or directory). 
",error,"Tue, 14 Aug 2018 10:00:09 -0400",West Virginia University,"Error generating data for Dashboard component #2090 (Assets List Critical Vulns) owned by User #1. Error executing ReportSource Query. Error executing ReportSource Query. SecurityCenter could not process the vulnerability filter string (SC_ROOT=/opt/sc /opt/sc/bin/showvulns  +orgid ""4"" +groupid ""0"" +tool 'sumasset' +sourcetype 'cumulative' +startoffset '0' +endoffset '10' +sortfield assetName +sortdir 'desc' +severity ""4"" +repository ""2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45""  -acceptRisk). Error opening asset file needed for query (orgID: 4 groupID: 0 repID: 44 assetID: 3252 msg: No such file or directory)."
,Critical,"Tue, 14 Aug 2018 10:00:09 -0400||error|CRITICAL|4|Error executing ReportSource Query. Error executing ReportSource Query. SecurityCenter could not process the vulnerability filter string (SC_ROOT=/opt/sc /opt/sc/bin/showvulns  +orgid ""4"" +groupid ""0"" +tool 'sumasset' +sourcetype 'cumulative' +startoffset '0' +endoffset '10' +sortfield assetName +sortdir 'desc' +severity ""4"" +repository ""2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45""  -acceptRisk). Error opening asset file needed for query (orgID: 4 groupID: 0 repID: 44 assetID: 3252 msg: No such file or directory). 
",error,"Tue, 14 Aug 2018 10:00:09 -0400",West Virginia University,"Error executing ReportSource Query. Error executing ReportSource Query. SecurityCenter could not process the vulnerability filter string (SC_ROOT=/opt/sc /opt/sc/bin/showvulns  +orgid ""4"" +groupid ""0"" +tool 'sumasset' +sourcetype 'cumulative' +startoffset '0' +endoffset '10' +sortfield assetName +sortdir 'desc' +severity ""4"" +repository ""2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45""  -acceptRisk). Error opening asset file needed for query (orgID: 4 groupID: 0 repID: 44 assetID: 3252 msg: No such file or directory)."
,Critical,"Tue, 14 Aug 2018 10:00:09 -0400||error|CRITICAL|4|Error executing ReportSource Query. SecurityCenter could not process the vulnerability filter string (SC_ROOT=/opt/sc /opt/sc/bin/showvulns  +orgid ""4"" +groupid ""0"" +tool 'sumasset' +sourcetype 'cumulative' +startoffset '0' +endoffset '10' +sortfield assetName +sortdir 'desc' +severity ""4"" +repository ""2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45""  -acceptRisk). Error opening asset file needed for query (orgID: 4 groupID: 0 repID: 44 assetID: 3252 msg: No such file or directory). 
",error,"Tue, 14 Aug 2018 10:00:09 -0400",West Virginia University,"Error executing ReportSource Query. SecurityCenter could not process the vulnerability filter string (SC_ROOT=/opt/sc /opt/sc/bin/showvulns  +orgid ""4"" +groupid ""0"" +tool 'sumasset' +sourcetype 'cumulative' +startoffset '0' +endoffset '10' +sortfield assetName +sortdir 'desc' +severity ""4"" +repository ""2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45""  -acceptRisk). Error opening asset file needed for query (orgID: 4 groupID: 0 repID: 44 assetID: 3252 msg: No such file or directory)."
system,Critical,"Tue, 14 Aug 2018 10:00:09 -0400|system|showvulns|CRITICAL|4|Error opening asset file needed for query (orgID: 4 groupID: 0 repID: 44 assetID: 3252 msg: No such file or directory).
",showvulns,"Tue, 14 Aug 2018 10:00:09 -0400",West Virginia University,Error opening asset file needed for query (orgID: 4 groupID: 0 repID: 44 assetID: 3252 msg: No such file or directory).
,Warning,"Tue, 14 Aug 2018 09:51:16 -0400||error|WARNING|4|Query #51850 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:51:16 -0400",West Virginia University,Query #51850 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:51:16 -0400||error|WARNING|4|Query #51846 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:51:16 -0400",West Virginia University,Query #51846 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:51:16 -0400||error|WARNING|4|Query #51844 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:51:16 -0400",West Virginia University,Query #51844 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:51:16 -0400||error|WARNING|4|Query #51840 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:51:16 -0400",West Virginia University,Query #51840 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:51:16 -0400||error|WARNING|4|Query #51837 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:51:16 -0400",West Virginia University,Query #51837 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:51:16 -0400||error|WARNING|4|Query #51834 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:51:16 -0400",West Virginia University,Query #51834 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:51:16 -0400||error|WARNING|4|Query #51831 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:51:16 -0400",West Virginia University,Query #51831 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:51:07 -0400||error|WARNING|4|Query #51768 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:51:07 -0400",West Virginia University,Query #51768 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:51:07 -0400||error|WARNING|4|Query #51765 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:51:07 -0400",West Virginia University,Query #51765 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:51:07 -0400||error|WARNING|4|Query #51762 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:51:07 -0400",West Virginia University,Query #51762 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:51:07 -0400||error|WARNING|4|Query #51759 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:51:07 -0400",West Virginia University,Query #51759 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:51:07 -0400||error|WARNING|4|Query #51756 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:51:07 -0400",West Virginia University,Query #51756 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:51:02 -0400||error|WARNING|4|Query #51749 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:51:02 -0400",West Virginia University,Query #51749 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:51:02 -0400||error|WARNING|4|Query #51746 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:51:02 -0400",West Virginia University,Query #51746 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:51:02 -0400||error|WARNING|4|Query #51742 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:51:02 -0400",West Virginia University,Query #51742 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:51:02 -0400||error|WARNING|4|Query #51739 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:51:02 -0400",West Virginia University,Query #51739 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:51:02 -0400||error|WARNING|4|Query #51736 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:51:02 -0400",West Virginia University,Query #51736 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:51:02 -0400||error|WARNING|4|Query #51733 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:51:02 -0400",West Virginia University,Query #51733 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:51:02 -0400||error|WARNING|4|Query #51730 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:51:02 -0400",West Virginia University,Query #51730 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:51:02 -0400||error|WARNING|4|Query #51727 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:51:02 -0400",West Virginia University,Query #51727 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:51:02 -0400||error|WARNING|4|Query #51724 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:51:02 -0400",West Virginia University,Query #51724 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:50:59 -0400||error|WARNING|4|Query #51721 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:50:59 -0400",West Virginia University,Query #51721 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:50:59 -0400||error|WARNING|4|Query #51718 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:50:59 -0400",West Virginia University,Query #51718 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:50:59 -0400||error|WARNING|4|Query #51715 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:50:59 -0400",West Virginia University,Query #51715 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:50:59 -0400||error|WARNING|4|Query #51712 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:50:59 -0400",West Virginia University,Query #51712 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:50:59 -0400||error|WARNING|4|Query #51710 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:50:59 -0400",West Virginia University,Query #51710 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:50:59 -0400||error|WARNING|4|Query #51706 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:50:59 -0400",West Virginia University,Query #51706 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:50:59 -0400||error|WARNING|4|Query #51704 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:50:59 -0400",West Virginia University,Query #51704 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:50:59 -0400||error|WARNING|4|Query #51700 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:50:59 -0400",West Virginia University,Query #51700 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:50:59 -0400||error|WARNING|4|Query #51697 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:50:59 -0400",West Virginia University,Query #51697 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:50:59 -0400||error|WARNING|4|Query #51694 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:50:59 -0400",West Virginia University,Query #51694 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:50:59 -0400||error|WARNING|4|Query #51691 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:50:59 -0400",West Virginia University,Query #51691 used to generate source data is inactive.
,Warning,"Tue, 14 Aug 2018 09:50:59 -0400||error|WARNING|4|Query #51688 used to generate source data is inactive. 
",error,"Tue, 14 Aug 2018 09:50:59 -0400",West Virginia University,Query #51688 used to generate source data is inactive.
Scan,Information,"Tue, 14 Aug 2018 09:45:02 -0400|Scan|message|INFO|0|No usable Scanners in Zone 'VCloud Air Zone' (id #9) - Skipping.
",message,"Tue, 14 Aug 2018 09:45:02 -0400",Application,No usable Scanners in Zone 'VCloud Air Zone' (id #9) - Skipping.
Scan,Information,"Tue, 14 Aug 2018 09:45:02 -0400|Scan|message|INFO|0|No usable Scanners in Zone 'Internal Hospitals' (id #7) - Skipping.
",message,"Tue, 14 Aug 2018 09:45:02 -0400",Application,No usable Scanners in Zone 'Internal Hospitals' (id #7) - Skipping.
Scan,Information,"Tue, 14 Aug 2018 09:45:02 -0400|Scan|message|INFO|0|No usable Scanners in Zone 'External Hospitals' (id #3) - Skipping.
",message,"Tue, 14 Aug 2018 09:45:02 -0400",Application,No usable Scanners in Zone 'External Hospitals' (id #3) - Skipping.
Scan,Information,"Tue, 14 Aug 2018 09:45:01 -0400|Scan|message|INFO|4|Scan job #10529061 ('B&E FULL UnAuthenticated 157 Scan' - #261) has acquired Scan 'B&E FULL UnAuthenticated 157 Scan' (launched by [B&E]).
",message,"Tue, 14 Aug 2018 09:45:01 -0400",West Virginia University,Scan job #10529061 ('B&E FULL UnAuthenticated 157 Scan' - #261) has acquired Scan 'B&E FULL UnAuthenticated 157 Scan' (launched by [B&E]).
Scan,Information,"Tue, 14 Aug 2018 09:45:00 -0400|Scan|message|INFO|4|Scan job #10529061 starting...
",message,"Tue, 14 Aug 2018 09:45:00 -0400",West Virginia University,Scan job #10529061 starting...
system,Information,"Tue, 14 Aug 2018 09:43:22 -0400|system|riskRules|INFO|4|Applying Recast and Accept Risk Rules successful for Repository #32.
",riskRules,"Tue, 14 Aug 2018 09:43:22 -0400",West Virginia University,Applying Recast and Accept Risk Rules successful for Repository #32.
system,Information,"Tue, 14 Aug 2018 09:43:21 -0400|system|riskRules|INFO|4|Applying Recast and Accept Risk Rules for Repository #32 has started.
",riskRules,"Tue, 14 Aug 2018 09:43:21 -0400",West Virginia University,Applying Recast and Accept Risk Rules for Repository #32 has started.
import,Information,"Tue, 14 Aug 2018 09:43:08 -0400|import|message|INFO|4|Import successful for scan #14083 into Repository #32.
",message,"Tue, 14 Aug 2018 09:43:08 -0400",West Virginia University,Import successful for scan #14083 into Repository #32.
system,Information,"Tue, 14 Aug 2018 09:43:03 -0400|system|import|INFO|4|Import beginning for scan #14083 into Repository #32.
",import,"Tue, 14 Aug 2018 09:43:03 -0400",West Virginia University,Import beginning for scan #14083 into Repository #32.
Scan,Information,"Tue, 14 Aug 2018 09:43:00 -0400|Scan|message|INFO|4|Scan job #10528920 ('PSC FULL UnAuthenticated 157 Scan' - #574)  (PSC FULL UnAuthenticated 157 Scan) has ended.
",message,"Tue, 14 Aug 2018 09:43:00 -0400",West Virginia University,Scan job #10528920 ('PSC FULL UnAuthenticated 157 Scan' - #574)  (PSC FULL UnAuthenticated 157 Scan) has ended.
expireAcceptedRisk,Information,"Tue, 14 Aug 2018 09:42:01 -0400|expireAcceptedRisk|message|INFO|0|Expire accepted risk job #10533686 has ended.
",message,"Tue, 14 Aug 2018 09:42:01 -0400",Application,Expire accepted risk job #10533686 has ended.
expireAcceptedRisk,Information,"Tue, 14 Aug 2018 09:42:01 -0400|expireAcceptedRisk|message|INFO|0|Expire accepted risk job #10533686 starting...
",message,"Tue, 14 Aug 2018 09:42:01 -0400",Application,Expire accepted risk job #10533686 starting...
scannerUpdate,Information,"Tue, 14 Aug 2018 09:41:32 -0400|scannerUpdate|message|INFO|0|Updating plugins on Scanner 'Box6-1 HSCNAT' (id #8 host:10.3.7.205)
",message,"Tue, 14 Aug 2018 09:41:32 -0400",Application,Updating plugins on Scanner 'Box6-1 HSCNAT' (id #8 host:10.3.7.205)
Scan,Information,"Tue, 14 Aug 2018 09:32:00 -0400|Scan|message|INFO|4|Scan job #10528919 ('HSCNAT FULL Scan Part 1' - #505)  (HSCNAT FULL Scan Part 1) has ended.
",message,"Tue, 14 Aug 2018 09:32:00 -0400",West Virginia University,Scan job #10528919 ('HSCNAT FULL Scan Part 1' - #505)  (HSCNAT FULL Scan Part 1) has ended.
Scan,Warning,"Tue, 14 Aug 2018 09:32:00 -0400|Scan|error|WARNING|0|Unable to determine full chunk in Scan job #10528919 ('HSCNAT FULL Scan Part 1' - #505).
",error,"Tue, 14 Aug 2018 09:32:00 -0400",Application,Unable to determine full chunk in Scan job #10528919 ('HSCNAT FULL Scan Part 1' - #505).
Scan,Critical,"Tue, 14 Aug 2018 09:32:00 -0400|Scan|error|CRITICAL|0|No scanners ready to scan. 
",error,"Tue, 14 Aug 2018 09:32:00 -0400",Application,No scanners ready to scan.
Scan,Critical,"Tue, 14 Aug 2018 09:31:00 -0400|Scan|message|CRITICAL|0|Scan job #10528919 is waiting for scanners to become available; timeout will occur in 1 minutes.
",message,"Tue, 14 Aug 2018 09:31:00 -0400",Application,Scan job #10528919 is waiting for scanners to become available; timeout will occur in 1 minutes.
Scan,Critical,"Tue, 14 Aug 2018 09:30:00 -0400|Scan|message|CRITICAL|0|Scan job #10528919 is waiting for scanners to become available; timeout will occur in 2 minutes.
",message,"Tue, 14 Aug 2018 09:30:00 -0400",Application,Scan job #10528919 is waiting for scanners to become available; timeout will occur in 2 minutes.
Scan,Critical,"Tue, 14 Aug 2018 09:29:00 -0400|Scan|message|CRITICAL|0|Scan job #10528919 is waiting for scanners to become available; timeout will occur in 3 minutes.
",message,"Tue, 14 Aug 2018 09:29:00 -0400",Application,Scan job #10528919 is waiting for scanners to become available; timeout will occur in 3 minutes.
Scan,Critical,"Tue, 14 Aug 2018 09:28:00 -0400|Scan|message|CRITICAL|0|Scan job #10528919 is waiting for scanners to become available; timeout will occur in 4 minutes.
",message,"Tue, 14 Aug 2018 09:28:00 -0400",Application,Scan job #10528919 is waiting for scanners to become available; timeout will occur in 4 minutes.
Scan,Critical,"Tue, 14 Aug 2018 09:27:00 -0400|Scan|message|CRITICAL|0|Scan job #10528919 is waiting for scanners to become available; timeout will occur in 5 minutes.
",message,"Tue, 14 Aug 2018 09:27:00 -0400",Application,Scan job #10528919 is waiting for scanners to become available; timeout will occur in 5 minutes.
reweissler,Information,"Tue, 14 Aug 2018 09:25:14 -0400|reweissler|auth|INFO|4|Successful logout for 'reweissler'.
",auth,"Tue, 14 Aug 2018 09:25:14 -0400",West Virginia University,Successful logout for 'reweissler'.
Scan,Critical,"Tue, 14 Aug 2018 09:22:00 -0400|Scan|message|CRITICAL|0|Scan job #10528919 is waiting for scanners to become available; timeout will occur in 10 minutes.
",message,"Tue, 14 Aug 2018 09:22:00 -0400",Application,Scan job #10528919 is waiting for scanners to become available; timeout will occur in 10 minutes.
Scan,Critical,"Tue, 14 Aug 2018 09:17:00 -0400|Scan|message|CRITICAL|0|Scan job #10528919 is waiting for scanners to become available; timeout will occur in 15 minutes.
",message,"Tue, 14 Aug 2018 09:17:00 -0400",Application,Scan job #10528919 is waiting for scanners to become available; timeout will occur in 15 minutes.
reweissler,Information,"Tue, 14 Aug 2018 09:13:53 -0400|reweissler|auth|INFO|4|Successful login for 'reweissler' from 157.182.62.22 (authentication type: ldap).
",auth,"Tue, 14 Aug 2018 09:13:53 -0400",West Virginia University,Successful login for 'reweissler' from 157.182.62.22 (authentication type: ldap).
Scan,Critical,"Tue, 14 Aug 2018 09:12:00 -0400|Scan|message|CRITICAL|0|Scan job #10528919 is waiting for scanners to become available; timeout will occur in 20 minutes.
",message,"Tue, 14 Aug 2018 09:12:00 -0400",Application,Scan job #10528919 is waiting for scanners to become available; timeout will occur in 20 minutes.
system,Information,"Tue, 14 Aug 2018 09:10:59 -0400|system|riskRules|INFO|4|Applying Recast and Accept Risk Rules successful for Repository #39.
",riskRules,"Tue, 14 Aug 2018 09:10:59 -0400",West Virginia University,Applying Recast and Accept Risk Rules successful for Repository #39.
system,Information,"Tue, 14 Aug 2018 09:10:59 -0400|system|riskRules|INFO|4|Applying Recast and Accept Risk Rules for Repository #39 has started.
",riskRules,"Tue, 14 Aug 2018 09:10:59 -0400",West Virginia University,Applying Recast and Accept Risk Rules for Repository #39 has started.
import,Information,"Tue, 14 Aug 2018 09:10:45 -0400|import|message|INFO|4|Import successful for scan #14081 into Repository #39.
",message,"Tue, 14 Aug 2018 09:10:45 -0400",West Virginia University,Import successful for scan #14081 into Repository #39.
system,Information,"Tue, 14 Aug 2018 09:10:37 -0400|system|import|INFO|4|Import beginning for scan #14081 into Repository #39.
",import,"Tue, 14 Aug 2018 09:10:37 -0400",West Virginia University,Import beginning for scan #14081 into Repository #39.
Scan,Information,"Tue, 14 Aug 2018 09:10:35 -0400|Scan|message|INFO|4|Scan job #10528918 ('UR-WEB FULL UnAuthenticated 157 Scan' - #211)  (UR-WEB FULL UnAuthenticated 157 Scan) has ended.
",message,"Tue, 14 Aug 2018 09:10:35 -0400",West Virginia University,Scan job #10528918 ('UR-WEB FULL UnAuthenticated 157 Scan' - #211)  (UR-WEB FULL UnAuthenticated 157 Scan) has ended.
admin,Information,"Tue, 14 Aug 2018 09:09:30 -0400|admin|auth|INFO|0|Successful logout for 'admin'.
",auth,"Tue, 14 Aug 2018 09:09:30 -0400",Application,Successful logout for 'admin'.
Scan,Critical,"Tue, 14 Aug 2018 09:07:00 -0400|Scan|message|CRITICAL|0|Scan job #10528919 is waiting for scanners to become available; timeout will occur in 25 minutes.
",message,"Tue, 14 Aug 2018 09:07:00 -0400",Application,Scan job #10528919 is waiting for scanners to become available; timeout will occur in 25 minutes.
Scan,Critical,"Tue, 14 Aug 2018 09:01:59 -0400|Scan|message|CRITICAL|0|Scan job #10528919 is waiting for scanners to become available; timeout will occur in 30 minutes.
",message,"Tue, 14 Aug 2018 09:01:59 -0400",Application,Scan job #10528919 is waiting for scanners to become available; timeout will occur in 30 minutes.
Scan,Warning,"Tue, 14 Aug 2018 09:01:54 -0400|Scan|message|WARNING|0|Unable to login to Scanner #8 (Box6-1 HSCNAT).
",message,"Tue, 14 Aug 2018 09:01:54 -0400",Application,Unable to login to Scanner #8 (Box6-1 HSCNAT).
Scan,Critical,"Tue, 14 Aug 2018 09:01:49 -0400|Scan|message|CRITICAL|0|Scan job #10528919 has resumed.
",message,"Tue, 14 Aug 2018 09:01:49 -0400",Application,Scan job #10528919 has resumed.
Scan,Critical,"Tue, 14 Aug 2018 09:00:49 -0400|Scan|message|CRITICAL|0|Scan job #10528919 is waiting for scanners to become available; timeout will occur in 30 minutes.
",message,"Tue, 14 Aug 2018 09:00:49 -0400",Application,Scan job #10528919 is waiting for scanners to become available; timeout will occur in 30 minutes.
Scan,Information,"Tue, 14 Aug 2018 09:00:49 -0400|Scan|message|INFO|0|Scan job #10528919 ('HSCNAT FULL Scan Part 1' - #505) initial targets reduced from 2048 IPs to 2047 IPs by Blackout Window 'Digi port server (unauth)'.
",message,"Tue, 14 Aug 2018 09:00:49 -0400",Application,Scan job #10528919 ('HSCNAT FULL Scan Part 1' - #505) initial targets reduced from 2048 IPs to 2047 IPs by Blackout Window 'Digi port server (unauth)'.
Scan,Information,"Tue, 14 Aug 2018 09:00:49 -0400|Scan|message|INFO|0|Blackout Window 'Digi port server (unauth)' encountered during Scan job #10528919 ('HSCNAT FULL Scan Part 1' - #505).
",message,"Tue, 14 Aug 2018 09:00:49 -0400",Application,Blackout Window 'Digi port server (unauth)' encountered during Scan job #10528919 ('HSCNAT FULL Scan Part 1' - #505).
Scan,Warning,"Tue, 14 Aug 2018 09:00:49 -0400|Scan|message|WARNING|0|Unable to login to Scanner #8 (Box6-1 HSCNAT).
",message,"Tue, 14 Aug 2018 09:00:49 -0400",Application,Unable to login to Scanner #8 (Box6-1 HSCNAT).
Scan,Information,"Tue, 14 Aug 2018 09:00:05 -0400|Scan|message|INFO|0|No usable Scanners in Zone 'VCloud Air Zone' (id #9) - Skipping.
",message,"Tue, 14 Aug 2018 09:00:05 -0400",Application,No usable Scanners in Zone 'VCloud Air Zone' (id #9) - Skipping.
