initiator,severity,rawLog,module,date,organization,message
Scan,Warning,"Tue, 14 Aug 2018 11:28:36 -0400|Scan|message|WARNING|0|Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service. 
",message,"Tue, 14 Aug 2018 11:28:36 -0400",Application,Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service.
Scan,Warning,"Tue, 14 Aug 2018 11:28:36 -0400|Scan|message|WARNING|0|Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service. 
",message,"Tue, 14 Aug 2018 11:28:36 -0400",Application,Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service.
Scan,Warning,"Tue, 14 Aug 2018 11:28:36 -0400|Scan|message|WARNING|0|Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service. 
",message,"Tue, 14 Aug 2018 11:28:36 -0400",Application,Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service.
Scan,Warning,"Tue, 14 Aug 2018 11:28:36 -0400|Scan|message|WARNING|0|Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service. 
",message,"Tue, 14 Aug 2018 11:28:36 -0400",Application,Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service.
Scan,Warning,"Tue, 14 Aug 2018 11:28:36 -0400|Scan|message|WARNING|0|Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service. 
",message,"Tue, 14 Aug 2018 11:28:36 -0400",Application,Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service.
Scan,Warning,"Tue, 14 Aug 2018 11:28:36 -0400|Scan|message|WARNING|0|Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service. 
",message,"Tue, 14 Aug 2018 11:28:36 -0400",Application,Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service.
Scan,Warning,"Tue, 14 Aug 2018 11:28:36 -0400|Scan|message|WARNING|0|Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service. 
",message,"Tue, 14 Aug 2018 11:28:36 -0400",Application,Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service.
Scan,Warning,"Tue, 14 Aug 2018 11:28:36 -0400|Scan|message|WARNING|0|Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service. 
",message,"Tue, 14 Aug 2018 11:28:36 -0400",Application,Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service.
Scan,Warning,"Tue, 14 Aug 2018 11:28:36 -0400|Scan|message|WARNING|0|Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service. 
",message,"Tue, 14 Aug 2018 11:28:36 -0400",Application,Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service.
Scan,Warning,"Tue, 14 Aug 2018 11:28:36 -0400|Scan|message|WARNING|0|Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service. 
",message,"Tue, 14 Aug 2018 11:28:36 -0400",Application,Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service.
Scan,Warning,"Tue, 14 Aug 2018 11:28:36 -0400|Scan|message|WARNING|0|Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service. 
",message,"Tue, 14 Aug 2018 11:28:36 -0400",Application,Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service.
Scan,Warning,"Tue, 14 Aug 2018 11:28:36 -0400|Scan|message|WARNING|0|Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service. 
",message,"Tue, 14 Aug 2018 11:28:36 -0400",Application,Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service.
Scan,Warning,"Tue, 14 Aug 2018 11:28:26 -0400|Scan|message|WARNING|0|Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service. Unable to connect. 
",message,"Tue, 14 Aug 2018 11:28:26 -0400",Application,Unable to login to Scanner #18 (Box08-1 Colson) - taking out of service. Unable to connect.
admin,Information,"Tue, 14 Aug 2018 11:26:37 -0400|admin|scanner|INFO|0|Scanner 'Box08-1 Colson': Field 'enabled' has changed.
",scanner,"Tue, 14 Aug 2018 11:26:37 -0400",Application,Scanner 'Box08-1 Colson': Field 'enabled' has changed.
admin,Information,"Tue, 14 Aug 2018 11:26:37 -0400|admin|scanner|INFO|0|'Admin User [admin]' modified scanner (id #18).
",scanner,"Tue, 14 Aug 2018 11:26:37 -0400",Application,'Admin User [admin]' modified scanner (id #18).
admin,Information,"Tue, 14 Aug 2018 11:26:25 -0400|admin|scanner|INFO|0|Scanner 'Box02-1 Colson': Field 'enabled' has changed.
",scanner,"Tue, 14 Aug 2018 11:26:25 -0400",Application,Scanner 'Box02-1 Colson': Field 'enabled' has changed.
admin,Information,"Tue, 14 Aug 2018 11:26:25 -0400|admin|scanner|INFO|0|'Admin User [admin]' modified scanner (id #5).
",scanner,"Tue, 14 Aug 2018 11:26:25 -0400",Application,'Admin User [admin]' modified scanner (id #5).
admin,Information,"Tue, 14 Aug 2018 11:20:14 -0400|admin|scanner|INFO|0|Scanner 'Box02-1 Colson': Field 'enabled' has changed.
",scanner,"Tue, 14 Aug 2018 11:20:14 -0400",Application,Scanner 'Box02-1 Colson': Field 'enabled' has changed.
admin,Information,"Tue, 14 Aug 2018 11:20:14 -0400|admin|scanner|INFO|0|'Admin User [admin]' modified scanner (id #5).
",scanner,"Tue, 14 Aug 2018 11:20:14 -0400",Application,'Admin User [admin]' modified scanner (id #5).
WVU,Information,"Tue, 14 Aug 2018 11:09:10 -0400|WVU|auth|INFO|4|Successful login for 'WVU' from 157.182.59.106 (authentication type: tns).
",auth,"Tue, 14 Aug 2018 11:09:10 -0400",West Virginia University,Successful login for 'WVU' from 157.182.59.106 (authentication type: tns).
admin,Information,"Tue, 14 Aug 2018 11:09:05 -0400|admin|auth|INFO|0|Successful logout for 'admin'.
",auth,"Tue, 14 Aug 2018 11:09:05 -0400",Application,Successful logout for 'admin'.
admin,Information,"Tue, 14 Aug 2018 11:03:00 -0400|admin|auth|INFO|0|Successful login for 'admin' from 157.182.59.106 (authentication type: tns).
",auth,"Tue, 14 Aug 2018 11:03:00 -0400",Application,Successful login for 'admin' from 157.182.59.106 (authentication type: tns).
Scan,Information,"Tue, 14 Aug 2018 11:00:04 -0400|Scan|message|INFO|0|No usable Scanners in Zone 'VCloud Air Zone' (id #9) - Skipping.
",message,"Tue, 14 Aug 2018 11:00:04 -0400",Application,No usable Scanners in Zone 'VCloud Air Zone' (id #9) - Skipping.
Scan,Information,"Tue, 14 Aug 2018 11:00:04 -0400|Scan|message|INFO|0|No usable Scanners in Zone 'Internal Hospitals' (id #7) - Skipping.
",message,"Tue, 14 Aug 2018 11:00:04 -0400",Application,No usable Scanners in Zone 'Internal Hospitals' (id #7) - Skipping.
Scan,Information,"Tue, 14 Aug 2018 11:00:04 -0400|Scan|message|INFO|0|No usable Scanners in Zone 'VCloud Air Zone' (id #9) - Skipping.
",message,"Tue, 14 Aug 2018 11:00:04 -0400",Application,No usable Scanners in Zone 'VCloud Air Zone' (id #9) - Skipping.
Scan,Information,"Tue, 14 Aug 2018 11:00:04 -0400|Scan|message|INFO|0|No usable Scanners in Zone 'Internal Hospitals' (id #7) - Skipping.
",message,"Tue, 14 Aug 2018 11:00:04 -0400",Application,No usable Scanners in Zone 'Internal Hospitals' (id #7) - Skipping.
Scan,Warning,"Tue, 14 Aug 2018 11:00:04 -0400|Scan|message|WARNING|4|Unable to scan 1024 Restricted targets in Scan #job #10529277 ('ITS-TELECOM FULL UnAuthenticated 10 Scan' - #575). 
",message,"Tue, 14 Aug 2018 11:00:04 -0400",West Virginia University,Unable to scan 1024 Restricted targets in Scan #job #10529277 ('ITS-TELECOM FULL UnAuthenticated 10 Scan' - #575).
Scan,Information,"Tue, 14 Aug 2018 11:00:04 -0400|Scan|message|INFO|4|Scan job #10529277 ('ITS-TELECOM FULL UnAuthenticated 10 Scan' - #575) has acquired Scan 'ITS-TELECOM FULL UnAuthenticated 10 Scan' (launched by ITS - TELECOM  [ITS - TELECOM]).
",message,"Tue, 14 Aug 2018 11:00:04 -0400",West Virginia University,Scan job #10529277 ('ITS-TELECOM FULL UnAuthenticated 10 Scan' - #575) has acquired Scan 'ITS-TELECOM FULL UnAuthenticated 10 Scan' (launched by ITS - TELECOM  [ITS - TELECOM]).
Scan,Information,"Tue, 14 Aug 2018 11:00:04 -0400|Scan|message|INFO|4|Scan job #10529276 ('HSCNAT FULL Scan Part 2' - #506) has acquired Scan 'HSCNAT FULL Scan Part 2' (launched by HSC  [HSC]).
",message,"Tue, 14 Aug 2018 11:00:04 -0400",West Virginia University,Scan job #10529276 ('HSCNAT FULL Scan Part 2' - #506) has acquired Scan 'HSCNAT FULL Scan Part 2' (launched by HSC  [HSC]).
Scan,Information,"Tue, 14 Aug 2018 11:00:04 -0400|Scan|message|INFO|4|Scan job #10529277 starting...
",message,"Tue, 14 Aug 2018 11:00:04 -0400",West Virginia University,Scan job #10529277 starting...
Scan,Information,"Tue, 14 Aug 2018 11:00:04 -0400|Scan|message|INFO|4|Scan job #10529276 starting...
",message,"Tue, 14 Aug 2018 11:00:04 -0400",West Virginia University,Scan job #10529276 starting...
expireAcceptedRisk,Information,"Tue, 14 Aug 2018 10:42:02 -0400|expireAcceptedRisk|message|INFO|0|Expire accepted risk job #10533831 has ended.
",message,"Tue, 14 Aug 2018 10:42:02 -0400",Application,Expire accepted risk job #10533831 has ended.
expireAcceptedRisk,Information,"Tue, 14 Aug 2018 10:42:01 -0400|expireAcceptedRisk|message|INFO|0|Expire accepted risk job #10533831 starting...
",message,"Tue, 14 Aug 2018 10:42:01 -0400",Application,Expire accepted risk job #10533831 starting...
system,Information,"Tue, 14 Aug 2018 10:31:10 -0400|system|riskRules|INFO|4|Applying Recast and Accept Risk Rules successful for Repository #27.
",riskRules,"Tue, 14 Aug 2018 10:31:10 -0400",West Virginia University,Applying Recast and Accept Risk Rules successful for Repository #27.
system,Information,"Tue, 14 Aug 2018 10:31:09 -0400|system|riskRules|INFO|4|Applying Recast and Accept Risk Rules for Repository #27 has started.
",riskRules,"Tue, 14 Aug 2018 10:31:09 -0400",West Virginia University,Applying Recast and Accept Risk Rules for Repository #27 has started.
import,Information,"Tue, 14 Aug 2018 10:30:57 -0400|import|message|INFO|4|Import successful for scan #14086 into Repository #27.
",message,"Tue, 14 Aug 2018 10:30:57 -0400",West Virginia University,Import successful for scan #14086 into Repository #27.
system,Information,"Tue, 14 Aug 2018 10:30:54 -0400|system|import|INFO|4|Import beginning for scan #14086 into Repository #27.
",import,"Tue, 14 Aug 2018 10:30:54 -0400",West Virginia University,Import beginning for scan #14086 into Repository #27.
Scan,Information,"Tue, 14 Aug 2018 10:30:50 -0400|Scan|message|INFO|4|Scan job #10529204 ('_LicenseRecoveryScan-TEST_ISS FULL UnAuth 157' - #955)  (_LicenseRecoveryScan-TEST_ISS FULL UnAuth 157) has ended.
",message,"Tue, 14 Aug 2018 10:30:50 -0400",West Virginia University,Scan job #10529204 ('_LicenseRecoveryScan-TEST_ISS FULL UnAuth 157' - #955)  (_LicenseRecoveryScan-TEST_ISS FULL UnAuth 157) has ended.
